iteration,fitness,best_so_far,best_trial_number,best_param_0,best_param_1,best_param_2,best_param_3,best_param_4,best_param_5,best_param_6,best_param_7,best_param_8,best_param_9,best_param_10,best_param_11,best_param_12,best_param_13,best_param_14,best_param_15,best_param_16,best_param_17,best_param_18,best_param_19,best_param_20,best_param_21,best_param_22,best_param_23,best_param_24,best_param_25,best_selected_features_count
84,178.73649084574723,178.3402687864286,82,265,0.1103699679513612,0.694562139215116,7,12.125206653561303,133,0.22621622201452812,12,1,1,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,7
85,181.81820107042122,178.3402687864286,82,265,0.1103699679513612,0.694562139215116,7,12.125206653561303,133,0.22621622201452812,12,1,1,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,7
86,178.56411180602822,178.3402687864286,82,265,0.1103699679513612,0.694562139215116,7,12.125206653561303,133,0.22621622201452812,12,1,1,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,7
87,180.12606647347997,178.3402687864286,82,265,0.1103699679513612,0.694562139215116,7,12.125206653561303,133,0.22621622201452812,12,1,1,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,7
88,189.2122902862773,178.3402687864286,82,265,0.1103699679513612,0.694562139215116,7,12.125206653561303,133,0.22621622201452812,12,1,1,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,7
89,179.6428223383051,178.3402687864286,82,265,0.1103699679513612,0.694562139215116,7,12.125206653561303,133,0.22621622201452812,12,1,1,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,7
90,180.22244494439823,178.3402687864286,82,265,0.1103699679513612,0.694562139215116,7,12.125206653561303,133,0.22621622201452812,12,1,1,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,7
91,187.83206461063963,178.3402687864286,82,265,0.1103699679513612,0.694562139215116,7,12.125206653561303,133,0.22621622201452812,12,1,1,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,7
92,182.6621837583106,178.3402687864286,82,265,0.1103699679513612,0.694562139215116,7,12.125206653561303,133,0.22621622201452812,12,1,1,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,7
93,179.25892423251318,178.3402687864286,82,265,0.1103699679513612,0.694562139215116,7,12.125206653561303,133,0.22621622201452812,12,1,1,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,7
94,181.25452143275916,178.3402687864286,82,265,0.1103699679513612,0.694562139215116,7,12.125206653561303,133,0.22621622201452812,12,1,1,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,7
95,183.3154909380141,178.3402687864286,82,265,0.1103699679513612,0.694562139215116,7,12.125206653561303,133,0.22621622201452812,12,1,1,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,7
96,177.80339906812523,177.80339906812523,95,425,0.08086174402804407,0.7723586565673887,5,12.399714021119594,152,0.24970583281797204,15,1,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,6
97,178.30339748357542,177.80339906812523,95,425,0.08086174402804407,0.7723586565673887,5,12.399714021119594,152,0.24970583281797204,15,1,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,6
98,183.08068327969474,177.80339906812523,95,425,0.08086174402804407,0.7723586565673887,5,12.399714021119594,152,0.24970583281797204,15,1,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,6
99,179.8055311918072,177.80339906812523,95,425,0.08086174402804407,0.7723586565673887,5,12.399714021119594,152,0.24970583281797204,15,1,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,6
100,179.13575745106584,177.80339906812523,95,425,0.08086174402804407,0.7723586565673887,5,12.399714021119594,152,0.24970583281797204,15,1,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,6
101,179.48803300513688,177.80339906812523,95,425,0.08086174402804407,0.7723586565673887,5,12.399714021119594,152,0.24970583281797204,15,1,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,6
102,180.0429891775725,177.80339906812523,95,425,0.08086174402804407,0.7723586565673887,5,12.399714021119594,152,0.24970583281797204,15,1,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,6
103,183.60007219528347,177.80339906812523,95,425,0.08086174402804407,0.7723586565673887,5,12.399714021119594,152,0.24970583281797204,15,1,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,6
104,182.05482444830912,177.80339906812523,95,425,0.08086174402804407,0.7723586565673887,5,12.399714021119594,152,0.24970583281797204,15,1,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,6
105,180.59297657113038,177.80339906812523,95,425,0.08086174402804407,0.7723586565673887,5,12.399714021119594,152,0.24970583281797204,15,1,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,6
106,180.58481336087772,177.80339906812523,95,425,0.08086174402804407,0.7723586565673887,5,12.399714021119594,152,0.24970583281797204,15,1,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,6
107,181.83948152618188,177.80339906812523,95,425,0.08086174402804407,0.7723586565673887,5,12.399714021119594,152,0.24970583281797204,15,1,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,6
108,180.1934092222529,177.80339906812523,95,425,0.08086174402804407,0.7723586565673887,5,12.399714021119594,152,0.24970583281797204,15,1,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,6
109,200.9439227762263,177.80339906812523,95,425,0.08086174402804407,0.7723586565673887,5,12.399714021119594,152,0.24970583281797204,15,1,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,6
110,180.11355095955207,177.80339906812523,95,425,0.08086174402804407,0.7723586565673887,5,12.399714021119594,152,0.24970583281797204,15,1,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,6
111,182.08953843438033,177.80339906812523,95,425,0.08086174402804407,0.7723586565673887,5,12.399714021119594,152,0.24970583281797204,15,1,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,6
