iteration,fitness,best_so_far,best_trial_number,best_param_0,best_param_1,best_param_2,best_param_3,best_param_4,best_param_5,best_param_6,best_param_7,best_param_8,best_param_9,best_param_10,best_param_11,best_param_12,best_param_13,best_param_14,best_param_15,best_param_16,best_param_17,best_param_18,best_param_19,best_param_20,best_param_21,best_param_22,best_param_23,best_selected_features_count
68,241.07354683295804,177.35907531751582,55,0.028071686415167545,80,53,0.9953366852784208,0.6424614012091251,166,1,1,0,1,0,0,0,1,1,1,1,0,1,1,1,0,0,1,11
69,179.3481044838793,177.35907531751582,55,0.028071686415167545,80,53,0.9953366852784208,0.6424614012091251,166,1,1,0,1,0,0,0,1,1,1,1,0,1,1,1,0,0,1,11
70,179.94716832685725,177.35907531751582,55,0.028071686415167545,80,53,0.9953366852784208,0.6424614012091251,166,1,1,0,1,0,0,0,1,1,1,1,0,1,1,1,0,0,1,11
71,188.4427869822847,177.35907531751582,55,0.028071686415167545,80,53,0.9953366852784208,0.6424614012091251,166,1,1,0,1,0,0,0,1,1,1,1,0,1,1,1,0,0,1,11
72,180.34971344264426,177.35907531751582,55,0.028071686415167545,80,53,0.9953366852784208,0.6424614012091251,166,1,1,0,1,0,0,0,1,1,1,1,0,1,1,1,0,0,1,11
73,180.9996756772065,177.35907531751582,55,0.028071686415167545,80,53,0.9953366852784208,0.6424614012091251,166,1,1,0,1,0,0,0,1,1,1,1,0,1,1,1,0,0,1,11
74,227.63584657292867,177.35907531751582,55,0.028071686415167545,80,53,0.9953366852784208,0.6424614012091251,166,1,1,0,1,0,0,0,1,1,1,1,0,1,1,1,0,0,1,11
75,242.138666907831,177.35907531751582,55,0.028071686415167545,80,53,0.9953366852784208,0.6424614012091251,166,1,1,0,1,0,0,0,1,1,1,1,0,1,1,1,0,0,1,11
76,178.57868358852954,177.35907531751582,55,0.028071686415167545,80,53,0.9953366852784208,0.6424614012091251,166,1,1,0,1,0,0,0,1,1,1,1,0,1,1,1,0,0,1,11
77,187.58975269505189,177.35907531751582,55,0.028071686415167545,80,53,0.9953366852784208,0.6424614012091251,166,1,1,0,1,0,0,0,1,1,1,1,0,1,1,1,0,0,1,11
78,181.7309214203402,177.35907531751582,55,0.028071686415167545,80,53,0.9953366852784208,0.6424614012091251,166,1,1,0,1,0,0,0,1,1,1,1,0,1,1,1,0,0,1,11
79,183.03375912156972,177.35907531751582,55,0.028071686415167545,80,53,0.9953366852784208,0.6424614012091251,166,1,1,0,1,0,0,0,1,1,1,1,0,1,1,1,0,0,1,11
80,184.44843570161845,177.35907531751582,55,0.028071686415167545,80,53,0.9953366852784208,0.6424614012091251,166,1,1,0,1,0,0,0,1,1,1,1,0,1,1,1,0,0,1,11
81,182.55406563019525,177.35907531751582,55,0.028071686415167545,80,53,0.9953366852784208,0.6424614012091251,166,1,1,0,1,0,0,0,1,1,1,1,0,1,1,1,0,0,1,11
82,176.93253164695187,176.93253164695187,81,0.02569251109588081,73,56,0.9340368018539759,0.6699451675364775,212,1,1,0,1,0,0,0,1,1,0,1,0,1,1,1,0,0,1,10
83,179.50153716614096,176.93253164695187,81,0.02569251109588081,73,56,0.9340368018539759,0.6699451675364775,212,1,1,0,1,0,0,0,1,1,0,1,0,1,1,1,0,0,1,10
84,179.27864383217752,176.93253164695187,81,0.02569251109588081,73,56,0.9340368018539759,0.6699451675364775,212,1,1,0,1,0,0,0,1,1,0,1,0,1,1,1,0,0,1,10
85,181.1942031946731,176.93253164695187,81,0.02569251109588081,73,56,0.9340368018539759,0.6699451675364775,212,1,1,0,1,0,0,0,1,1,0,1,0,1,1,1,0,0,1,10
86,182.20859494107336,176.93253164695187,81,0.02569251109588081,73,56,0.9340368018539759,0.6699451675364775,212,1,1,0,1,0,0,0,1,1,0,1,0,1,1,1,0,0,1,10
87,177.27188736258535,176.93253164695187,81,0.02569251109588081,73,56,0.9340368018539759,0.6699451675364775,212,1,1,0,1,0,0,0,1,1,0,1,0,1,1,1,0,0,1,10
88,207.96561108986376,176.93253164695187,81,0.02569251109588081,73,56,0.9340368018539759,0.6699451675364775,212,1,1,0,1,0,0,0,1,1,0,1,0,1,1,1,0,0,1,10
